Team,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
James Madison,214,-0.7407407407407407,0,2,1,2,5,6,7,4
Kansas St,74,0.25806451612903225,4,10,2,7,2,0,6,0
Kansas,6,2.2941176470588234,12,5,7,1,7,0,2,0
Kennesaw St,224,-1.4814814814814814,0,3,0,3,1,7,8,5
Kent St,132,0.1,1,1,2,4,3,2,14,3
Kentucky,5,1.8181818181818181,9,7,5,0,4,0,8,0
La Salle,226,-1.1333333333333333,0,3,1,5,3,7,7,4
Lafayette,319,-1.9310344827586208,0,1,1,2,0,6,8,11
Lamar,354,-3.111111111111111,0,2,0,5,0,8,0,12
Lehigh,300,-1.5806451612903225,0,0,0,5,2,3,10,11
Liberty,119,-0.2,0,1,1,3,5,3,13,4
Lipscomb,269,-1.3333333333333333,1,3,0,4,0,5,10,7
Long Beach St,154,0.0,0,5,0,2,8,3,10,2
Long Island Univ,244,-0.6551724137931034,0,4,0,3,0,4,15,3
Longwood,125,0.2962962962962963,0,1,0,1,4,2,17,2
Louisiana,187,-0.8620689655172413,0,2,0,2,4,7,10,4
Louisiana-Monroe,275,-1.3214285714285714,0,3,1,2,2,8,7,5
LSU,18,1.2727272727272727,6,9,5,1,6,1,5,0
Louisiana Tech,98,0.45161290322580644,2,5,0,3,5,1,14,1
Louisville,138,-0.40625,0,6,3,8,5,5,5,0
Loyola (IL),23,1.1333333333333333,3,2,4,4,7,1,9,0
Loyola Mymt,208,-0.7777777777777778,1,6,0,4,3,5,6,2
Loyola (MD),262,-1.3103448275862069,0,1,0,2,2,4,11,9
Maine,353,-2.730769230769231,0,3,0,3,0,3,3,14
Manhattan,255,-0.9655172413793104,0,0,0,3,6,6,8,6
Marist,213,-1.1666666666666667,0,0,0,3,5,4,9,9
Marquette,42,1.0,5,7,5,5,4,0,5,0
Marshall,242,-1.3870967741935485,0,2,1,8,1,6,8,5
UMBC,235,-0.6774193548387096,0,2,0,3,1,5,16,4
UMES,302,0,0,1,0,2,1,6,7,6
Maryland,89,0.25,2,11,5,2,4,4,4,0
Mass-Lowell,248,-1.25,1,1,0,2,2,5,9,8
Mass,179,-0.59375,0,4,2,4,5,5,8,4
McNeese St,312,-2.0689655172413794,0,5,0,1,0,4,7,12
Memphis,33,1.032258064516129,5,4,3,4,8,2,5,0
Mercer,190,-0.8333333333333334,0,3,0,4,6,7,7,3
Merrimack,293,-1.206896551724138,0,3,1,1,0,3,12,9
Miami (FL),62,1.0303030303030303,4,3,5,4,9,3,5,0
Miami (OH),251,-1.4285714285714286,0,1,1,4,1,8,8,5
