Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
145,Longwood14,BSth,26-7,+2.22,105.9,103.7,66.1,+.115,-7.31,98.7,106,-7.2
146,UNC Wilmington,CAA,27-9,+2.04,105.1,103.1,65.5,+.155,-2.36,102.3,104.7,-5.48
147,Yale14,Ivy,19-12,+1.98,100.7,98.8,68.8,+.063,-1.48,103.3,104.8,+0.65
148,Jacksonville St.15,ASun,21-11,+1.97,105.1,103.2,65.1,-0.005,-4.68,100.6,105.3,-0.23
149,Wagner,NEC,21-6,+1.67,101.9,100.3,66.5,+.081,-9.4,97.7,107.1,+1.43
150,Georgia St.16,SB,18-11,+1.60,101.5,99.9,67.3,+.062,-0.97,101.2,102.1,+2.05
151,Kent St.,MAC,23-11,+1.58,101.6,100,66,+.056,-3.56,102.4,105.9,+0.30
152,North Dakota St.,Sum,23-10,+1.54,102.9,101.4,66.4,+.101,-5.42,102.8,108.2,-1.84
153,Drexel,CAA,15-14,+1.52,104.5,102.9,66.4,-0.063,-1.07,103.4,104.4,+0.97
154,Cal St. Fullerton15,BW,21-11,+1.47,104.1,102.7,66.1,+.047,-2.99,100.5,103.5,-3.84
155,Coastal Carolina,SB,19-14,+1.30,102.6,101.3,67,-0.078,-2.9,100.6,103.5,+1.52
156,Georgia Tech,ACC,44915,+1.20,100.4,99.2,68,-0.021,+6.42,107,100.6,-6.33
157,South Alabama,SB,21-12,+1.18,102.8,101.6,66.5,-0.04,-4.21,99.8,104,-1.69
158,Monmouth,MAAC,21-13,+1.12,102.6,101.4,66.2,+.076,-0.59,102,102.6,+3.83
159,Winthrop,BSth,23-9,+0.89,105.9,105,68.3,+.115,-2.94,100.8,103.7,+6.22
160,Long Beach St.,BW,20-13,+0.77,103.3,102.6,70.9,+.109,0,102.5,102.5,+6.47
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
161,New Mexico,MWC,13-19,+0.73,106.6,105.9,70.9,-0.04,+4.72,104.8,100.1,+1.60
162,Southern Utah,BSky,23-12,+0.61,106.7,106.1,68.5,+.051,-5.25,100.3,105.6,+1.55
163,Saint Joseph's,A10,44884,+0.60,100.4,99.8,68,-0.085,+1.85,103.3,101.5,-1.92
164,Jacksonville,ASun,21-10,+0.49,100.2,99.7,61.5,+.047,-5.37,101.6,107,-3.25
165,Oral Roberts,Sum,19-12,+0.34,109.5,109.1,70.3,-0.027,-4.8,102.6,107.4,+2.98
166,Appalachian St.,SB,19-15,+0.26,101,100.8,64.5,+.015,-1.01,102.6,103.6,+7.01
167,Gardner Webb,BSth,18-13,+0.22,96.6,96.4,67.4,-0.029,-4.14,101.5,105.6,+2.79
168,UTEP,CUSA,20-14,+0.17,100.7,100.5,66.6,+.039,-1.69,102.1,103.8,-1.74
169,Hawaii,BW,17-11,+0.06,101.6,101.5,65.2,-0.01,-4.44,99.8,104.3,-5.4
170,VMI,SC,16-16,-0.18,110.3,110.5,68.9,-0.032,-0.28,103.7,103.9,-1.07
171,Tulsa,Amer,44885,-0.27,103.6,103.9,66.5,-0.066,+2.79,103.5,100.7,-6.08
172,Wright St.16,Horz,22-14,-0.28,106.3,106.6,68.9,+.003,-6.76,100.2,107,-0.23
173,Fordham,A10,16-16,-0.43,94.7,95.1,67.6,+.017,-0.61,103.7,104.3,-7.43
174,Weber St.,BSky,21-12,-0.48,103.3,103.8,69.5,+.023,-6.01,101,107,-0.42
175,Georgetown,BE,44737,-0.48,104.9,105.4,70.1,-0.11,+8.39,106.5,98.1,-1.94
176,Norfolk St.16,MEAC,24-7,-0.49,102.1,102.6,66.8,+.128,-10.02,95.5,105.5,-4.18
177,UC Riverside,BW,16-12,-0.58,100.3,100.9,65.3,+.004,-2.74,99.9,102.6,+2.89
178,UNC Greensboro,SC,17-15,-0.66,100.5,101.2,62.2,+.037,-1.42,104.4,105.8,-3.24
179,East Carolina,Amer,15-15,-0.86,102.7,103.5,67.7,+.074,+1.11,102.2,101.1,-8.14
180,Portland,WCC,19-15,-0.89,102.7,103.6,69.1,+.045,-1.91,102,103.9,-6.58
181,Arkansas St.,SB,18-11,-1.12,99.9,101,68.3,+.065,-3.35,100.8,104.2,-5.87
182,Samford,SC,21-11,-1.12,105,106.1,69.1,+.162,-0.91,104.3,105.2,-3.97
183,Louisiana,SB,16-15,-1.15,101.5,102.6,69.6,-0.022,-2.63,100.4,103,-2.11
184,Navy,Pat,21-11,-1.19,95.3,96.5,64.7,+.037,-6.87,100.3,107.1,+3.83
185,Massachusetts,A10,15-17,-1.22,111.8,113,69.1,+.052,+1.21,102,100.8,-2.64
186,East Tennessee St.,SC,15-17,-1.25,107.7,108.9,65.3,+.021,+1.07,105.2,104.1,+4.22
187,Texas Southern16,SWAC,19-13,-1.28,97.6,98.9,68.2,+.022,-6.25,98.7,105,+10.00
188,Oakland,Horz,20-12,-1.31,102.9,104.2,67.4,+.022,-4.65,101.4,106,+8.53
189,Bryant16,NEC,22-10,-1.32,103.8,105.1,72.6,+.112,-8.47,98,106.5,+0.01
190,Niagara,MAAC,14-16,-1.47,100.3,101.8,64.3,-0.044,-2.23,101.5,103.8,-1.26
191,Illinois St.,MVC,13-20,-1.5,105,106.5,68,-0.103,+0.42,103.2,102.7,-5.48
192,Troy,SB,20-12,-1.59,98.7,100.3,67,+.082,-2.84,101.1,103.9,-4.27
193,Cornell,Ivy,15-11,-1.62,103.4,105,71.7,+.041,-2.86,102,104.8,-1.64
194,Old Dominion,CUSA,13-19,-1.69,100.9,102.6,64.3,-0.078,-0.35,102.9,103.2,-1.07
195,Pittsburgh,ACC,44886,-1.76,99.7,101.5,64,+.050,+7.00,107.5,100.5,+0.30
196,Mercer,SC,16-17,-1.81,105.6,107.4,64.7,+.023,+0.38,104.9,104.5,+1.46
197,Cleveland St.,Horz,20-11,-1.98,103.3,105.3,67.8,-0.015,-7.97,99.2,107.1,+0.26
198,Northern Kentucky,Horz,20-12,-2.09,100.9,103,64.1,-0.004,-7.97,99.6,107.6,-4.51
199,Dartmouth,Ivy,44820,-2.43,98.6,101.1,64.7,-0.122,-1.28,103.2,104.5,+2.63
200,Bellarmine,ASun,20-13,-2.48,107.9,110.4,62,+.113,-1.46,103.2,104.7,+12.84
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
201,Charlotte,CUSA,17-14,-2.52,104.9,107.4,65.5,+.095,-1.24,102.4,103.7,-0.27
202,Valparaiso,MVC,14-18,-2.63,102.7,105.4,65.1,-0.024,+0.32,103.2,102.9,-5.49
203,Loyola Marymount,WCC,44883,-2.71,105.8,108.5,65.9,-0.003,+3.53,104.5,100.9,+1.89
204,Brown,Ivy,13-16,-2.75,100.3,103,67.3,-0.047,-0.92,103,103.9,+2.98
205,Nicholls St.,Slnd,21-12,-2.79,100.8,103.6,69.8,+.021,-7.59,100,107.6,+0.37
206,Fairfield,MAAC,15-18,-2.85,100.6,103.5,64.3,-0.072,-3.75,100.5,104.3,-7.06
207,Marist,MAAC,14-16,-2.88,100.8,103.7,66.2,-0.048,-4.13,100.5,104.6,-7.54
208,Florida Gulf Coast,ASun,22-12,-2.96,104.4,107.4,70.2,+.072,-6.07,100.2,106.2,-5.85
209,UNC Asheville,BSth,17-15,-2.97,102.3,105.3,66.8,-0.036,-5.35,100.3,105.6,-0.46
210,South Dakota,Sum,19-12,-3.05,104.4,107.5,65.7,+.058,-6.18,102.6,108.8,-5.83
211,Penn,Ivy,44911,-3.34,106.2,109.5,67.6,+.031,+0.98,103.4,102.4,+6.82
212,Tarleton St.,WAC,14-17,-3.39,99.6,103,63.1,-0.037,-0.48,101.8,102.3,+8.55
213,Campbell,BSth,16-13,-3.46,100.7,104.2,62.4,-0.046,-5.83,98.7,104.5,-1.02
214,UMKC,Sum,19-12,-3.55,100,103.5,67.4,+.058,-5.04,103.2,108.2,+0.78
215,Southern,SWAC,17-14,-3.63,96.7,100.3,69.9,-0.032,-6.16,98.9,105.1,+6.03
216,Northern Colorado,BSky,22-16,-3.82,107.7,111.5,69.6,+.100,-3.84,101.5,105.4,+7.40
217,Eastern Washington,BSky,18-16,-3.86,104.1,107.9,69.7,0,-5.21,101.1,106.3,+3.05
218,Boston University,Pat,22-13,-3.99,105.4,109.4,65.1,+.043,-7.88,97.8,105.7,-4.55
219,Georgia,SEC,44738,-3.99,106.7,110.6,68.6,-0.024,+8.00,105.7,97.7,-2.35
220,Rice,CUSA,16-17,-4.15,105.6,109.7,67.5,+.010,-2.32,101,103.3,-7.26
221,UC Davis,BW,13-11,-4.24,97.9,102.1,67.1,+.014,-6.01,99.6,105.7,-6.92
222,UT Arlington,SB,44883,-4.28,97.7,102,65.2,-0.027,+0.64,102.3,101.6,+10.44
223,Kennesaw St.,ASun,13-18,-4.32,104.7,109,66.2,-0.116,-2.13,102.2,104.3,+6.36
